Title,reviews,stars
DOROTHY THE MANAGER DID NOT EXPLAIN THE…,DOROTHY THE MANAGER DID NOT EXPLAIN THE LOAN !!! SHE LEFT OUT THAT WE WILL GET CHARGE $3.65 A DAY TILL LOAN IS PAID UP !!!! AWFUL WAY AND DIRTY WAY TO DO BUSINESS ... I WOULD NEVER EVER RECOMMEND ANYONE TO GET A LOAN AT ADVANCE AMERICA WITH CO- WORKER THAT DO NOT HAVE THE ANSWER TO ANY QUESTIONS OR EXPLAIN ANYTHING ! LEAVING THE CUSTOMER WITH THE UNKNOWN ....BBB WILL GET NOTIFY OF THIS MATTER .... HAS WILL WITH A CONSUMERS SURVEY REVIEW .,1
The process for a loan was a breeze…,The process for a loan was a breeze however your interest rates are ridiculous I’ll be paying this loan asap. Complete rip off basically they are good for keeping the rich richer,1
Bad company they put on google search…,Bad company they put on google search site listing they help regardless of credit history poor credit or bad credit yeah sure they don't do that they deniers of this company they need to take down the advertised sitar on google search this is no good for retired disabled people they deny them period that's flagstaff Arizona office locally and nationwide as well too,1
First 2 times I used y'all it was fine…,First 2 times I used y'all it was fine until the next time a double payment was taking out an each time I send what u need it's always something else. Got email the Treasury dept was handling it now an tried to refund me my overpayment y'all deducted an seems to be a problem. U have information u need so I don't understand the problem. If a check up was done at end of day u would see were u double drafted me. Not satisfied at all with what's going on. This has out me in a bind. I would never done last loan if this messup y'all done hadn't of happened,1
Stay on top of your Advance America loan!,"Money should never be paid back until the third of every month, which is when I receive my social security!  But this month, with the holiday, YOU were able to get my money early!  You were paid back on the 2nd of September! Today, on September the 12th, I was finally able to get my new loan into the bank!  This is because I didn't ""ride the website"" with my normal immediate debit card  which allows me to payback my loan and immediately reapply the same day!  It was a nightmare!  Thankfully, my family covered the $255.00, or I would have had checks bouncing all over town!  I was NOT at all a happy camper, and I have been dealing with you for literally YEARS!  You took my money out YOUR WAY and made it impossible for me to immediately reapply the same day!",1
Paid off my loan but couldnt start…,Paid off my loan but couldnt start another loan for over a week?!!  When we had a local office you could show proof the loan was paid and extend it (or start a new one if needed)... now that its online only in our area it takes a week?  That is usless.  Its back to school time and  I needed to get my kids ready for school.,1
As of 11:47,"As of 5:15 p.m., I STILL HAVE NOT received my loan. Not happy at all, especially after being informed I'd have it by 5:00 p.m. today. Now, I'm told I have to wait until 11:00 a.m. tomorrow. I 'd still recommend your service, but this incident leaves much to be desired...considering my loan was approved Friday the 5th by 12:30 p.m.",2
Horrible experience,"Horrible experience. Has to send in my last paystub which I did, then had to wait hours for approval. Was sent notification that my loan was approved and funds would be sent the next day. Never received the funds to my account the next day, or the day after, or the day after that. I online chatted with customer care the day after it was supposed to be sent inquiring what happened, they told me on their end it says it was sent. Three days hater I checked my loan status online and it had been changed from open to void with no zero communication regarding the change or explaining what happened. Still haven’t heard a word. I will never be using this company again.",1
Payment was scheduled to pay off my…,"Payment was scheduled to pay off my loan & defaulted to paying the next day instead of the day it was scheduled for. No help has been offered, was just told there was nothing that could be done.",1
Took two payments,"I was called by a representative who said my payment didn't go through could I come in. I came in this morning to make my payment. They never said the other one DID go through. Went to buy groceries and couldn't. Checked my account and found out that both payments had been taken. They told me nothing they could do,"" it will go on your next payment"". Thanks for nothing Advance America.  When I pay this off I'm taking my business elsewhere.",1
Horrible,"they ask for a lot of information and documents, you must go to the store and apply there because online they can never verify identity, and even in the store the process is horrible, the loans are very expensive in interest and it is with third parties, that is, your information goes Where you won't know, you can't pay online, only in cash and return to the same store, I DO NOT RECOMMEND IT",1
I'd got an email reminding me by…,I'd got an email reminding me by payment would come out on the 1st. My SS check doesn't go to my bank until the 3rd. I contacted AA that the money would not be there until the 3rd. They still took it out on the 1st and cost me an additional fee of $32.00. I'm very disappointed.,1
Hello I recently went to the Allen Park…,Hello I recently went to the Allen Park store and was embarrassed. The lady didn't listen to what I stated and said very loud I had been denied for having 2 or more loans. When she actually entered in my information wrong. So I jad to leave store call 800 number for them to figure out the misunderstanding. Did I forget that I just had surgery a couple days prior and am non weight bearing I was totally inconvenience. I went back and Shaun took great care of me. However I just assume not go back to that lication.,1
During application process,"During application process, I gave my banking info. I received information showing deposits and transfers in my bank account. I never received the funds I was approved for. I was told my account number wasn't correct...how did you get my banking information including all deposits and transfers if I gave you the wrong account number? Thanks but no thanks!!",1
I called yesterday,"I called yesterday, and followed the props for a call back, I have not received it as of this day!!! I would like to thank ADVANCE AMERICA for reaching out to me on yesterday, helping me to resolve an issue and guiding me through, the problem I had. Great Customer Service Skills. KUDOS!!!!!!",1
Could not complete,I needed to complete the transaction online as the office closest to my work had closed.  I could not complete the transaction due to the system not recognizing that I had electronically signed the forms.  I had to leave work early to drive to the my hometown office to complete the transaction.Need to work on the online experience.,2
The woman in Canton South knows my name…,The woman in Canton South knows my name and still ask me when we already had problems but I think you trained her again and she’s acting different but at least I got my loan and A card to call my loan in on the first or I can bring in cash to pay my loan you need to get a rid of her I don’t know if she’s acting proper because there was another person there working to or what but that store I’ll be better without tangerine Or Tanger…..,2
The manager was persistent is counting…,"The manager was persistent is counting my advance back to me out loud with other customers waiting near me. I asked him 2x if he, could place the money on the counter slowly as I count it with him, it’s not a safe neighborhood and he refused. I told him, “Yes; you can. Banks, cashiers do it all the time. The cameras can see the both of our mouths are moving counting the money. He just refused”. This experience made me feel nervous, unsafe and disregarded of my concerns expressed. He did not display good customer service. I felt setup to be a possible victim once I stepped out the door. (Elcamino Truxel)Truly disappointed.",1
Incorrect information on websites,"Your website states that if your loan is processed before, 10:30 am l, your funds will be available that day.  That is not the case with you being in the east coast and I'm in the Pacific coast because of the time difference.  Being in the the Pacific coast your loan would have to be processed by 7:30am in order to receive your funds same day.   Huge error and wrong information with your website.",1
Not very helpful,"The person at the store was not very helpful, could not help me find a solution. Persons on the phone dont know anything. I was told three things that end up being the opposite of what they said. They neither could help or find a solution. I had to figure ot out by myself. The website has the wrong information for instant my NAME!!! And I was not able to set up the payment the way I always do!!!! And your interest is WAY TO HIGH. Rhe email I got recently about being so loyal I qualify for the lower interest is a lie. Its highway robbery. You should be ashamed.",2
I did an online loan,"I did an online loan, said I Was approved waited over 24 hrs, called C.S. they said it'll be deposited before 5.Next day I look at my account it said void,  my bank sent it back to them.C.S. said go instore and I'll get my loan.i went instore and they said my paycard was not acceptable so I wasted 2 days waiting on a loan they said I was approved bit I got nothing",1
I was having a issue on Saturday for…,I was having a issue on Saturday for the money to go on my card like it always does they put in a service ticket to call me back Saturday no one ever called I called again on Monday they said someone would call me back no one ever called no one still has not called me I had to go to another store,1
I stopped at store on Collier Blvd to…,"I stopped at store on Collier Blvd to borrow $500.  When I arrived the computers were down so later that night at 10 pm I applied online!  I got approval pretty quickly but the funds were not deposited quickly and I incurred 2 bounced checks at $70!  Then they made my pay back date on the first of the month when my gov check doesn’t arrive until the 3rd!  I had to call and get that straightened out!  I had 4 medical appointments this month with added fees, co pays, prescriptions!  I needed the money fast but that didn’t happen!Im not happy about paying the fees for 2 bounced checks!Noreen Allison",2
Diana Quinones was very pleasant very…,"Diana Quinones was very pleasant very good customer service. I will recommend people to visit store 2840 34th St No St. Petersburg, FL.",1
Online system doesn’t work!,"If I could give a 0 I would! The online website sucks! The plaid verification for income does not work! I was able to select my employment checks however, it still wanted me to upload pictures. When I try to call for help, it went from an 7 minute wait to a 9 minute wait. Do not use the online system, it is a waste of time!",1
It took 4 days  for me to get approved …,It took 4 days  for me to get approved  Then it took 3 days for me to get another loan. Yes I put my new bank card for instant deposit to my bank account. From Friday to Monday.  But again thank you forvtheloan,1
My last loan payment Aug 7th 2022,"My last loan payment Aug 7th 2022, was not allowing me to use my credit card, which delayed my payment, which delayed my account status, extending the time of my bank receiving and clearing my payment on time!This delay caused hardship due to 4 additional days before I was allowed to apply for a new loan! Paying by credit card is a more efficient way for a customer to make payments online and on time without delays! The most important aspect of using your loans is not only to access funds for essential purchases, it's most important to reestablish good standing credit status while maintaining a consistent ability to make payments on time would you agree?",1
As a repeat customer I experienced the…,As a repeat customer I experienced the inconvenience of having to have my direct deposit and banking information verified all over again as if I were a first time customer. It's like my information some how vanished from the system.,1
Keep writing and calling your website…,Keep writing and calling your website is wonky !  Not sure if Emails I get are phishing scams !  When you call they ask for social security number in the world of fraud we lube in ..it’s crazy!  I scheduled a payment online but see nothing when I log back in,2
Bad place to get a loan,Bad place to get a loan. I took a loan out cause I needed to pay something Monday. I got approved rather quickly and easily but then I went to pick up my loan and they had no money. I called the next nearest branch to check if they had money so I can pick up my loan and they refused to tell me. So I drove another 16minutes only to find out they had no money either. I was told I had to cancel my current loan so I could reapply and be able to do online deposit. Problem was that now the money was going to be available Tuesday instead of Monday when I needed it. If taking out a loan as an emergency please do not consider Advance America. They are slow at giving you your money.,1
I'm disappointed in the representative…,I'm disappointed in the representative I spoke with her tone to me was not friendly or appealing to me. She still didn't understand what I was asking and just stuck with her first answer. I don't feel she tried to get a better understanding and clarity.,2
It shows that I have a loan but I DID…,It shows that I have a loan but I DID NOT receive any money my account I'M NOT paying a loan I NEVER received. So either send me the money or delete everything. iM NOT paying you when I NEVER got the loan!!!!!MAKE IT RIGHT!!!Kathy Wharton,1
Payday loans are no help if you dont receive the money when you need it…,"Everything was very smooth as far as applying for a payday loan, however, i was approved o  thurday and it is now sunday and i still dont have the money i needed on friday which makes the whole deal worthless to me. And it cost me $38 to get the money when i no longer need it",2
Bad Reborrow Review,I paid my account off. Then had to reborrow. Had a very hard time putting my application in. Something was wrong with your computer systems. It was bad. Took me 4 days to get it approve. I am a very good customer and to only be able to reborrow more than 250 is just wrong. I can’t figure it out. But anyway that’s how I feel.,1
You need to reopen a store in new…,You need to reopen a store in new castle!!! I have to drive ti muncie or Greenfield to pay my loan and no I won't do line. I pay this loan off im done wont get another ive been a customer for over 15 year and I have several friends they aren't coming back big mistake by closing new castle,1
Advance America will not and does not…,"Advance America will not and does not respect long term customers, I feel treated like a number or someone Advance just wants to take advantage of! loan program is a scam I am done with money raped by them ad the hopes of having better....lies and deception even if I been a customer for many years",1
I submitted a Payday Loan 8-14,I submitted a Payday Loan 8-14. My bank verified funds never posted to my Debit Card. Customer Service was not able to determine what happened. I was forced to cancel the loan & now have to wait 3-5 days to reapply.,1
The person who waited on me took it to…,The person who waited on me took it to her Liberty of having my money payment come out of my account without my permission I never authorized that to happen she just did it I do not appreciate it. I have always called in my payment. And I have been with you people for a long time. But she was not authorized to do it.,1
I understand the amount of the loan and…,I understand the amount of the loan and interest applied. However my payments are being taken out a day earlier than what was agreed upon and all I got was an email stating that the dates are correct when they infact are not. This is costing me an additional $39 a month in bank fees.,1
I got approved for a loan checked out…,"I got approved for a loan checked out put in my banking account information right, never received info about my loan until three days later.....",1
Lousy,"Lousy, cannot get a loan or make a payment through their website,  freezes and would not let you in. You have to waste time and gas and go in person,  also,  they keep closing the stores near me so the drive is further away. Will NOT be using their services any more,  prefer to do business with amscot who's fees are a bit lower anyway.",1
This company is slow to give you the…,This company is slow to give you the funds you borrowed. I had to wait three days' to receive my loan.,2
Online system kept saying error,"Online system kept saying error, can not process loan. It was very frustrating.  I was finally able to apply online at 10:32am after the same day deposit deadline.  But at least the online system used my next payday instead how walk up uses the payday coming up in 5 days.",2
I miss the girl at the store on…,I miss the girl at the store on Nashville Road in Bowling Green Kentucky.   I called the day before told her I would be there Friday.  She said if not by Saturday she would automatily take it out of my checking account.  The other girl new when I got my check I'd be in.  Ya ll should heve paid her more.  Goverment ck in on third wednesday each month.   I have borrowed money there for years and no one ever been anything but nice.  Will pay off asap.Lana Susie Paschal,2
This is robbery,"These are the worst people to get a loan from first of all they tell you that they going to email you all your paperwork I have not been able to read or open up any of the paperwork I found out that even talking to them explaining to them that your money it's not on your card they still put you down as a missed payment you get no advance these people are robbing you is 24 cent every day they charging you like this man they won't accept my card that they put the money on this is like a nightmare and I will be paying $10,000 on $420 this is crazy this some b******* I understand my whole life away I would never never ever ask anybody will tell anybody to get anything from you all ever again once I get out of this I am done forever with you all people I should have never never signed those papers I should have never took that money $97.00plus24 cent every 2days while the account is open",1
Your internet app sucks,Your internet app sucks. You ask if your info has changed and we answer NO CHANGES. Then you have to jump through loops to prove that you are the person that has provided you my personal info. Then once it proven then you have to continue providing info. It just isn’t worth the hassle because most of the time you have to go into a store to sign the paperwork or get the money. Since you’ve closed our store in Farmerville LA I have to go 45 miles to get to one of your opened establishments  you finally put the $$$ in my acct this time but just not worth the hassle.,1
I made a mistake when I was doing my…,"I made a mistake when I was doing my online part I signed for 100 instead of 300. I didn't realize it until I went to pick up the money. It could have been easily resolved you could have got it corrected and loaned me more money meaning you would make more. But the lady at the counter was rude, argumentative, and cost both of us money. I was told to take what she had or get nothing. So I took it which was probably a waste since I needed the amount I was approved for.",1
Waste of time and no help from customer service,I have done twice and still havent recieved no money.,1
I have a $400 check that's uncashable…,"I have a $400 check that's uncashable from your Euclid, OH store, so very pissed off!!  No check verification machine would scan it anywhere. Tried 4 times. I got it Saturday at 1 p.m.  I'm very angry that it's not worth the paper it's printed on.  And now that location won't take it back for 30 days, reverse the transaction.",2
No money.,"I applied for a loan on a Friday. I knew I wouldn’t get it over the weekend. But it is Wednesday and I still have not received any money. My bank tells me there are no pending transactions and advance America tells me that it is in processing. It makes no sense. By the time I might get the money, they will be taking it back plus the fees. I will not be using them for a payday loan again.",1
Well lets see my money got sent back…,Well lets see my money got sent back and now i have to wait days for you guys to clear the loan so i can get a new one with correct account number since unable to edit it to the correct one so i could apply for a new loan while you guys clear uo the firat one so not very satisfied .,1
Zero never got my money said I was…,Zero never got my money said I was missing account number and it didn’t go through and said for me to reply which I will not,1
Received emails stating that I had not…,"Received emails stating that I had not completed my request for a loan even though I had already received the money on my debit card - did not receive updates via email when it was time for a payment to be removed out of my account, Ended up by going to the Milton, FL. office to make sure that a payment was made. Spent some time trying to figure out where the error was on my part.",2
i did the application and i keep…,"i did the application and i keep getting emails stating that i didn't finish the application, but no where on the site does it give me the option to finish it. ??? where do i finish the application, i received the money and see the payment dates and amounts.. stop sending me these emails.. or direct the information to the correct page. or tell us how to in the email...",1
Absolute trash,Absolute trash.  Got a loan and since i didn't ADD MY BANK ACCOUNT for an online pay loan it wouldnt allow me to reloan for 5 DAYS. Even if its ALREADY cleared in my account. Worst experience EVER with a pay loan. I doubt ill use advance america again. This was a horrible experience. If i could rate less stars i would. Its an online loan.. If id known it would take 5 days i would have just GONE TO THE STORE.. Definitely complaining to corp .. No other place does that.,1
Over charges for interest,I been doing Business with advance American for some time now recently I apply for a payday loan I miss read the due date and advance American change me the full amount of interest for one week as they would for a hold month unhappy customer ☹️☹️☹️☹️,1
I started an online  application and…,"I started an online  application and was pre-approved for $400.00. When went to my local Advance America, I only qualified for $200.00. I did not understand the discrepancy and the reasoning was not explained.",1
What a nightmare,"What a nightmare!  Only because I have dug myself into this hole I can't get out of,  I have to keep borrowing. I don't get paid until Friday,  yet my funds were taken out on a Thursday two separate times - I was told this was because I borrowed on my pay day. Which resulted in overdrawn Bank account that included overdraft fees. I also had to choose a pay day a week prior to my actual pay day because the option wasn't available.  This has been an expensive and stressful experience.",1
Please fix your app/website!,Your app/website malfunctions every time I have to use it. It zooms in on some pages to where I can't enter info and doesn't let me zoom out.It's extremely slow. I also have to take a photo of my benefit document almost every time. It's only allowed me to utilize the instant payment feature ONE time.,1
Another good experience saved the day,"I've learned from my past experiences,I have to use my tablet to apply online, doesn't seem to be cell phone compatible,that a sidethe process was easy experience except there was a glitch with the signature function,took me 3 times to complete, just make sure to check the necessary box and the problem may be avoided,if all else fails call customer service and they should be able to remedy the problem,my money was direct deposited to my debit card in less than 30 minutes",2
The problem is the website,"The problem is the website.  I always have a problem getting the loan.  It will not put the loan on my debit card I have to keep trying and call your customer service to cancel application and try again,",1
Poor customer service over the phone,"I called customer service to ask questions about my deposit and the man I spoke to just kept speaking over me and repeating the exact same thing while I was still trying to ask a question. What he was saying didn’t even answer my question. Once I told him he was being rude and had poor customer service he improved slightly. I will not deal with Advance America again based on this. There are too many other companies I can use, to give my money to someone who employs rude people.",1
Horrible service,Horrible serviceWas told loan was approved and deal done then told my address isn't correct then told I have to produce proof of residence which I did then told it's not enough.  Ridiculous job by Angel the guy assigned to me.  Horrible service would never recommend you to anyone.,1
This was one of the worst transaction I…,This was one of the worst transaction I have ever took first of all the Third Kind you guys did not have any cash so they gave me a check Walmart would not cash the check so so the clerk says Check Into Cash I go there they charged me $25 to cash it I will never borrow again should I get my $25 back,1
Still haven't received funds after…,Still haven't received funds after being approved last Friday,1
Tasha is rude,Tasha helped me out with my loan but she was rude the whole beginning of the transaction. She started getting a bit more friendly I guess when she realized I would be approved for the amount I was asking for. If I didn’t need the money that day I would have just walked out.,2
4 days later- still can't cash it,"I wrote before- service and process was great. But they didn't have cash on hand the day I got my loan and they gave me a check. I tried from Thursday to Monday to cash that check, Kroger, Walmart, Meijer, my bank... No one would cash that check. Soo called, they said a place downtown (20mi) would cash it for sure but I had to get there while the store I got the check from was open so it could be verified. So, grandkids in tow, I schlepp downtown where they were more than happy to can my check, for a paltry fee of $35.00!!!!!  To cash a 700 check that they just verified. DO NOT ACCEPT A CHECK, ONLY CASH FROM ADVANCE AMERICA.",2
I have been a customer for 5 yes or…,"I have been a customer for 5 yes or more and never had a problem until recently. I always get my check on the 3rd of every month. Last month my payment was due the 2nd. Because I didn't call to change it to the 3rd they went ahead and took it from my account on the 3rd. I always always pay it with my debit card over the phone. If they had called me to remind me of my payment that would of never happened, which by the way they used to do. So because I forgot to call I had to wait till the 5th to get my money again which was quite an inconvenience. I was not a happy camper especially when ever that happened before the girls in the office knew that I would be in to pay the 3rd and the would go ahead and change the date if it failed on the day before.",1
You have me paying you back on the 22nd…,You have me paying you back on the 22nd of June and I don't get paid til the 29th of June.  You have always corrected this in the past and it's in my file also I get paid the 4th Wednesday of each month.  Are you going to correct it this time?Cheri Price,1
I am upset at what happened to me a few…,I am upset at what happened to me a few days ago. I did my installment loan via phone on the website. I only wanted $350  I got approved for $730 but that was too much. I had a customer service rep on the phone and she couldn't fix it. The interest on $730 will be outrageous. She told me I had to wait 48 hours to return the money. So now I have to drive 20 miles to try to fix this. There should be a way to cancel a loan and reapply. Where if I did that I had to wait 7 to 14 days. That just doesn't seem right. So Monday I am driving down there.,2
I have been trying to reapply for an…,I have been trying to reapply for an installment loan for almost 24 hours. I'm sureI have applied more than 50 times and it just keeps giving me error messages. It is not logging the information correctly. i have called twice and still am having no luck.,1
First it gave me 1 amount then it gave…,First it gave me 1 amount then it gave me a different amount. I tried to call the company and nobody would answer my call. Sincerely Tammy moniz,1
You have done anything,You have done anything. I still have not received my funds,1
I was told when I went and did the loan…,I was told when I went and did the loan that I could pick the cash up in store and I have tried 3 times to pick cash up from the local store and all 3 times they have not been able to give me any nor will they issue a check.,1
The sacramento agent on mack and…,The sacramento agent on mack and franklin location was mean and very discriminated. not friendly and was so rude. thank youcynthia,1
The log-in problem for the whole 2…,"The log-in problem for the whole 2 months. I contacted Advance America Representative many times to complain about my unsuccessful log-in. Why? They sent a ticket to Tech Support Dept and told me that I will be contacted in 24 hours, but I am never contacted!",1
Extremely slow and irritating loan…,"Extremely slow and irritating loan process. Numerous repetitive questions from clerk. (Intentionally racist? I think so. Elderly White man/Latino clerk). Also I received $2,000 less that originally requested. (Reason?)Roll the tape.You explain.",1
The draw from my line of credit was…not sent to my bank yet 5 days so far,The draw from my line of credit was charged to my account Saturday the money has not been posted as of Tuesday 5 days to send the money @ your rates is way too long. Was told by your service rep the money was to be deposited end of day Monday.,1
The lady gave me wrong information on…,The lady gave me wrong information on the phone I had everything accept for a have gas to go back to work and when everything thing was finish she didn't ask me if I wanted cash or debit she just gave me cash. Didn't apologized to me for any of the long wait.,2
Went there to get loan and was told I…,"Went there to get loan and was told I had to wait a week, still don’t know why. I was mad! Then I go home and did the loan online. So what she said was a lie.",1
The clerk that waited on me was mean…,The clerk that waited on me was mean and rude. She gave short snotty answers and treated me like I was a piece of crap. If she is available to wait on me next time I’ll walk out,1
You all told me that I was approved for…,"You all told me that I was approved for a loan. You all were dishonest about depositing the funds in my account. I was sent an email today, encouraging me to reapply today. I was never contacted.",1
Well your customer service is not good…,Well your customer service is not good since this lady name Alexis works there because she is not friendly she is very  rude because when I called an ask for an extension on my loan just 2 days she told me that it was my last time she could give me an extension I will like to know when did you guys change that because I have been coming to your company for years me and my family because she also rude to them an the only reason I ask for extension is because I work mon to Friday an I always like going to your store  so you guys need to give her some Training on how to work with your customers or you guys going to loose alot of customer,1
Took my money out sooner than they were…,Took my money out sooner than they were supposed to and made me negative in my bank account..I feel like they do this every month to me...,1
I am not nor ever have been a client of…,"I am not nor ever have been a client of Advance America, I do not live in or have any connections with the USA. I can't seem to make the staff of the company aware of this to stop them pestering me with unwanted emails.",1
I didn’t receive my loan in my checking…,I didn’t receive my loan in my checking account The Bank said it hasn’t received anything it’s going on two days I need this resolved I need to pay bills,1
The four stores that I went to in South…,The four stores that I went to in South Florida had very rude and indifferent clerk's whereas in N Florida they were like my friends.,1
Have been a customer over a year …,Have been a customer over a year and been using the online portal for about 8 months. Recently had major problems with the website. A glitch in your system cause my account to be drafted for payment by ACH debit and the payment didn't clear until 6 days later. I always used my debit card and didn't authorize an ACH. Needless to say I could not reborrow until it cleared so I got behind on my bills.it cleared my bank account on the day it should have the 1st day I called customer service to get help fixing the problem and the lady was very rude to me literally called me a liar!! So I'll be moving my loan elsewhere very soon the problem is still not fixed!! Even went to the local store and same thing happened very rude with no help. Ive paid over a thousand dollars on this loan in interest!!,1
Account info was incorrect and had a…,Account info was incorrect and had a difficult time speaking with someone to figure out how to fix it. Very upsetting,1
Well I applied for a loan on Thursday…,Well I applied for a loan on Thursday and I got approved for it but it never showed up in my bank account and I don’t feel comfortable paying something I never got,1
Every time I try to log on to your site…,"Every time I try to log on to your site when I click on login the screen fades.  I can never get in, Every thing is correct.  I go to chat and wait and when they come on the line.  Their answer is to go to google.  I got in before on Explorer, when I first started using you on line.  I don't have google and don't want it.  I know my sign in is correct and my password is correct.  Some times I change my password (per your support) three or four times.  After a couple of hours I get in. Some times your support tell me to go to the store.  Not a good answer.  I got in to fill out the info this time, but could not get back in.  Very frustrating.  I should not be this way.",1
I want to say if it wasn’t for Advance…,I want to say if it wasn’t for Advance America payday loan to payday loan every 2 weeks in a time of needing to pay bills or buying food I don’t know how I would have gotten through hard times.,2
This place is Awesome,This place is Awesome. The staff is so very helpful and courteous. I dont like the fact that I have to come here but I'm grateful that I can come here for help when I need it. Thank you!,2
