name,reviews,stars
Brian Maier,"Danell from the 6mile store in Livonia, MI  was awesome to work with.  She was responsive, energetic, honest and most importantly, understanding.  I really felt like she was there to help, not to judge my situation.  She made me comfortable, explained all my options and gave me time to decide what was right for me.  She respected my time and just made it easy to do business with OneMain. I felt like I was her only customer every time I interacted with her.  She picked up the phone and greeted me by name before I even said a word!  Outstanding customer service, outstanding product offering, outstanding OneMain. Thank you.",5
customer,They listen to the problem they gave me a choice of how to do the loan that will be the best for me.,5
JB,"Bunch of crooks this place is. Told them i was selling my car and got the payoff monday. Told them i would be in wednesday to sell the car. The customer could not make it wednesday and switched to friday due to an emergency he had. In 3 days my payoff went up mysteriously $200.00? Supposedly this ""company"" helps people with bad credit, but in the end you get the shaft.Edit: typical. Provided my waste of time information and no response. Lets see what the BBB has to say about this corrupt corp.",1
A happy customer,"Process went well considering I made an error when I submitted our application. That resulted a delay of a few days but, again that was my error. The staff were always friendly when I called or stopped by. After the issues were worked out, we signed everything electronically and received our funds the next day.",5
Marlene,"My agent was very good, helpful and knowledgeable. I look forward to doing business with you again,",4
Albert Musquiz Jr,Appreciate your service but I had to go through 100 different steps and 9/10 calls and missed calls,3
Christina Kapono,"So very awesome always their to help you  with open arms when everyone else folds there arms and look at you like you don't belong, ONEMAIN staffs are hard working and trys their best to help you in every way possible and great team work,kine and respectful love them.thank for always being there for me Mahalo.",5
Heather Fuentes,Great experience my representative helped me get through the forms she was very kind and patient.,5
Debbie Mcdonald,My experience with One Main was excellent 👍. Mrs Sylvia was so supportive and helpful with helping me with my loan. I think she went above and beyond in helping me get the money 💰 I needed. This was my second loan with them. And yes i would refer them to my friends again. Thanks One Main.,5
Patricia Difiore,I have borrowed from One Main in South Philadelphia twice and both times were great experiences!,5
Farrell Hood,Thank you so much for the wonderful customer service we received at one main financial.  Gervona was helpful and she answered the questions we had and made sure we understood the application.  I would highly recommend to other friends and family.,5
Sheryn Amick,"The team between Beckley WV,  and Lewisburg WV,  treated me great.   I think they are real professionals, in their line of work.   I liked the fact that they could accommodate me even tho I was in different town, not have to drive an hour to meet them to finalize the loan.",5
Kimberly Heimburg,"Staff was very knowledgeable, friendly and patient. They worked around my work hours, since I am a hospital worker and was interrupted on several occasions for patient care.  They worked with me and treated me with respect and kindness. The Flint office is excellent.",5
Vincent Wofford,The process was simple and the lady went over everything and explained it well.,5
Andrew Solomon,"Mehl was constantly in touch with us and made the application process a breez,",5
Linda Hempfleng,"My loan experience with One Main was fast, efficient, and the loan officer was extremely professional. I called on a Monday and had my loan the next day! I was offered several options to choose from in a stress-free environment Thank-you, One-Main!",5
Wes Coast,"It was quick, easy and hassle free. Also it was all done under five minutes!",5
Shawn Ownby,Very thankful for an opportunity to purchase a vehicle on my own with reasonable interest. Lengthy but smooth and friendly process. Answered all my questions and made sure I was informed of terms of the loan. I would definitely recommend.,5
S. Masel,A very pleasant experience to be able to obtain a loan for my needs. The steps were easily explained and options were fair and concise to my needs. Loan representative was professional and extremely helpful. Exemplary customer service!,5
Jill Jonason,"Special ""shout out"" to Jamie Mitchell in Fargo ND! My experience was professional, confidential and compassionate during the loan process with Jamie. I would refer everyone to give One Main a chance when looking for any type of loan.",5
Thomas Franklin,"As a current customer, I was not surprised when I was waited on in a timely fashion. All my questions were answered and when my loan was approved I knew I had come to the right place once again.",5
John K,Had a current loan with OMF already and something came up personally and they were able to assist me quickly(like same day quickly) and I was able to solve my issue.  Thanks your staff is awesome and phone accessible is a plus.,5
Sharon Smith,"The customer service was great.Fast, friendly and easy to get service from company.",5
Diane Buonamici,The process was very quick and uncomplicated. The staff was efficient and friendly.,5
Michelle McDonald,The team was very helpful and patient.  They made the loan process so stress free.,5
Ryan Wilson,She was helpful with everything and explained everything so I could understand it,5
Alice Ware,"Great experience! Great staff, quick response, senstive to your needs, and money was in my account when promised.",5
Megan Buchanan,Always available to help when life throws a curve ball! Great customer service.,5
Carrie Rumbarger,The only thing I didn't like was and is the high interest rate.  My credit cards are lower then these guys.  I'll be paying back over double the loan which is highway robbery,4
Edgar Williams,Everyone was very helpful and my personal loan went through smoothly..thank you so much to Joan and Elizabeth..,5
Jaleesa Tarver,Ms. Camisha was amazing!! She took the time to really try to help me! I appreciate her assistance and patience!! She definitely showed that sometimes people will go above and beyond to help! Thank you 🙏,5
Stephen Buchanan,The lady on the phone was great. The process was fairly easy. The only opportunity for improving is that the website is a bit glitch and kept kicking me out.,4
Maria Maldonado Simoes,"Got approved very quickly. Amanda was very accurate, professional and quick.",5
ELLEN PHILLIPS,The loan process was simple and quick..  I wasn't expecting the process to be so easy.. The loan officer explained everything that I would need and within a hour I received the money,5
Gladys Reid,How friendly everyone was and how quick we was in and out. Very satisfied,5
Laranda Butler,The person that was helping me explained things very well and was patient,5
Jessica,Teresa was amazing! She made sure I understood every part of the process as well as making sure I was comfortable with my payments. She truly had my best interest in mind the entire time.,5
Jennifer G,"I went into the Racine, WI location to redo my loan. Steve was my loan representative and he was very informed and very polite. It was a great experience, highly recommend.",5
Sherrie Wallace,Excellent customer service provided. Professional staff. Timely contact.,5
Lonnie,The ease in applying for a loan with a active loan was very impressive.,5
Kay,Excellent exceptional customer service and friendly especially Raku..,5
Jacqueline Booth,Everyone was very helpful in getting my transaction. Very friendly!!,5
Daniel Jones,Very efficient and quick loan process. Thank you 😊 Daniel Jones,4
Kenneth H. Thompson,ONE MAIN helped me with my third loan. The ladies are very polite and thorough with their knowledge. I will always recommend them to anyone interested in a loan.,5
Kelly Foster,Always are welcoming and supportive definitely will keep using them,5
Carol Connor,Awesome people working at the office. Camino Dela Reina office 👍😊,5
Joel Hernandez,The whole loan process was very organized and was completed in a timely fashion. Customer service was extraordinary and all staff was knowledgeable and clear on details.,5
Brandon Rooks,Another successful approval on my 2nd loan. Quick and easy. Very helpful and easy process with the wonderful experienced customer service lady. Thankful!,5
Lela Yancie,Everyone at One Main Financial is very helpful and courteous whether you call or in person. Very kind hearted people that are at the branch I've been to.,5
Theresa Bean,Excellent Customer Service. Easy online application and closing.,5
Amelia Hausia,It was very good and helpful experience and I’m so thy,5
Tifferania Davis,"The process was simple, easy and fast. Yes the interest rate is high, but I’m just so glad to be approved and can have the ability to make progress on things.",5
David Nelson,Everyone was nice and helpful. It made the loan much easier .,5
Richard N,good people that work there they go the extra mile to help,5
Jason Simmons,My point of contact was very friendly and professional. She made a very good experience. I see myself doing business with her again in the future.,5
Nadine Christman,Demaris was so amazing! Very Professional and her customer service was outstanding. She helped me so much!,5
Damita Cravens,OneMain is very accommodating to my needs and patient.,5
Millicent Ferrell,It was easy and fast. Received the money the same day.,5
Danny Dorsey,Brittany was an is amazing. She is great at what she does. Wow!!! Thank you so much..,5
Angelo Columbetti,Jason explained all the details of the loan and made my experience very easy to understand. Everyone at One Main Financial were great!,5
Maureen R. Maureen Rider,"My experience was a pleasant and relaxed experience , a relief, that left me knowing that there is always there to help…. Thank you !!",5
Coach Melrose,If you have an S corp do not even try to get a loan from these people.  They will have no idea how to verify income.,1
Favian Givens Thomas,"Great experience,quick approval, staff was friendly",5
Patrick Kaufman,They keep saying I'm eligible for a loan then I apply and I can't get crap!,1
Richard L,Very professional people who took my needs seriously and helped me with my financial needs in a non-judgmental way.,5
Benson Mason,"Very pleased with everything! The process was very quick and trouble free and the staff was, as always, very friendly and helpful!",5
Tracy,Great customer service and it was an easy process.,5
Stacey Tolliver,Easiest loan process ever. Friendly and helpful.,5
Audrey Jefferson,Takeia and Nadia are always so nice and helpful!,5
Rachel Marstiller,Very quick knowledgeable and easy to deal with.,5
Robert Perkins,It very easy helpful experience everyone are nice and friendly I would tell anyone if they needed money it the place to go,5
Theodore Mack,"Quick, easy, efficient service that doesn't disappoint!  Service Rep was easy to talk to, listened, and really helped me!",5
Toya ,I was very satisfied with this customer service. The entire transaction from start to closing was awesome,5
DAR,A very professional and courteous office environment. Ashley Turner was great in assisting me with great customer care.,5
Susan Colin,I loved working with Tanya. She was the best!,5
David Baca,Everything your people are very very helpful,5
YDLR,This was the smoothest loan process ever- Evelyn was very professional and explained everything in detail.,5
Susie Dierbeck,"Great company, great service, great people. I just wish the interest rate was a little lower",4
Erin Roy,Thank you all so very much for your help!!,5
Erik Anglin,"One Main was there for me, when I needed them..They came thru in a clutch.. and I am extremely grateful …",5
Sandra Baucom,Always willing to help and very friendly.,5
Ronnie Ratliff,Greg was very helpful and did an amazing job. I’m very satisfied with his excellent customer service.,5
James Lawrence,Really professional ! Understanding.,5
John Caceres,"Very professional and fast service.  I applied and got the funds within 3 days, thank you Cricket!!",5
William Duffy,Very nice people. It took a little more then I thought. Computer issues I guess.,5
Imelda,I am very pleased with you service the representativesare extremely kind and knowledgeable.,5
Larry Thornton,"Approved my loan, staff was great.",5
Ernesto Mesa Sr,I received excellent customer service from your staff. Got what i requested in a timely manner.,4
Martina Sabas,"Great service, fast and friendly.",5
Tammy Foraker,Staff helpful and amazing Sheena was so easy to work with. Diffently an asset to your company,5
Beverly Valentine,Overall great experience no stress and will definitely use one main again in the future,5
Elizabeth P,The guy was so helpful his name started with Lacory I think he was so helpful. Very patient,5
Mark O,Gloria at brownwood texas  was the best. she went above and beyond helping us with our loan,5
Diane Martin,"Quick, responsive, professional",5
Connie Coffey,i WAS TAKING CARE OF VERY FAST AND HAD THE MONEY I NEEDED IN MY ACCOUNT THE NEXT DAY.,5
Belinda Robinson,One Main Financial was very professional and knowledgeable.They where helpful.,5
Lori F,The online application process was seamlessly from beginning to end,5
Kaitlyn Leonardi,Excelent customer service. Extremely fast and profesional . They have more than 5 stars,5
Penny Nelson,Darlene was very helpful and patient and explained things so it was easy to understand.,5
William Cole,Once I manage to get Nicholas pinned down it was straight sailing to get my money,5
Angela Reeves,Great customer service a d fast response,5
Wayne Wehmas,My outline application for loan request was approved and the process was easy.,4
Dian Muriel Diaz,"Excellent  Customer Service,  Very informative  and offers great options",5
Linda Ashton,"Courteous, efficient, smiled, respect, made me feel comfortable as a customer.",5
Clarisson Franklyn,Brook was extremely helpful and kind. The loan process is wonderful. Thank u.,5
RonaldRodriguez,"They were very  informative and helpful ,if I had to do it again I would",5
Debra Barbour,One may is very helpful,5
BARBARA CARTER,Customer service was great. And the application process was pretty painless.,5
Arielle Matthews,Very helpful and worked with me to find a payment I was comfortable with!!!,5
Anne,Fantastic customer service.fantastic amount of time they give to repay,5
Barmu Jellah ,I'm really satisfied with this company they are all courteous and helpful,5
Mrs. BROWN,"Excellent experience. Timely, professional, courteous, friendly, patient!",5
Jacqueline Arsenault,The staff was  very outgoing with their service Especially Constance,5
Michelle Crespo,The people are so friendly and are so helpful here in Hobbs location,5
Patrick Hinton,Ryan  was very professional and grace. Made me feel  important 😌,5
Patrick M,Love the Professionalism of everyone in the office.,5
Jeroll Young,I appreciate everyone for helping me when I needed it the most!,5
Debbie Hugg,She made the process easy and got my loan in a timely manner.,5
Barbara Degreve,One main is quick and easy.   Jessica is quick and friendly.,5
Jesus C,It was very nice experience didn’t take a long time,5
Sylvia M,Everything went great and the loan officer was very helpful,5
Bruce,Very professional and polite thank you I am thankful.,5
Gladys Hicks,Very helpful and willing to complete my needs.,5
David,THE EXPERIENCE WAS GREAT-AND SATISFACTORY,5
Christopher Till,Things went very well No problem at all,5
Annette Ballinger,Friendly staff. Very helpful.,5
Annette Bertrand,"Super fast, so easy, and so happy!",5
Shelia Goodlett,Great Experience Fast Service,4
Rosa Lewis,Great! Awesome!Quick!,5
Cody Gulledge,THANK YOU VERY MUCH!,5
Laura Hawkins,"I am unhappy to say the least about my last loan I opened at the end of April of this year in South Zanesville, worked with April.  Thought, let's give this a shot, I have been a customer for a while, having multiple loans in the past that I have paid in full and off way before the end of the loan.  I decided to stay local bc hey, why not.  Was trying to get a loan for 8-9000 for a car, but kept getting run around that we needed to go higher on the loan - newer car , fewer miles, etc. etc.  So was told I was approved for 13000.  Again, stayed local, biggest mistake ever- Went to Finks , thought we found a car that met our criteria,  and got the run around again, needed to come up with 2000 down payment which we weren't expecting to do.  We had to do what we had to do to make it work, needed a vehicle to get back and forth to work .  Needless to say, when filling out the terms and conditions, wasn't explained the ""optional""   insurance that was added to my account , just scanned over and told to select the other box.  I ended up calling to get that ""optional"" insurance removed and was refunded for that portion of it, which was a joke.  2 weeks later after getting the car, had to repair the car due to spark plugs misfiring and not driving.  Replaced all 4 and brakes, also oil change- Finks is terrible and doesn’t make sure you are driving off the lot with a maintained vehicle.  They don’t care as long as they get their money.  Absolutely not the way to treat people.  So almost $2500 in the hole in the middle of May from buying the vehicle end of April, and not even had it a month.  Thought issue was fixed, engine light repeated came on, burning oil.  Taken to 2 different mechanics before they recommend to take it to dealer.  Where the dealer charged us over $300 to do a diagnostic test that led to them saying the engine needed rebuilt and undrivable .  Which with a straight face said it would cost $7500 to complete.  Had car towed back home where the car sat on our lot for 2 months, making payments and insurance payments on a vehicle that doesn’t run properly.  Reached out for help to try and get loan to atleast get car back on the road again and denied over and over, was told not much we can do since I just opened loan.  SMH.  Not willing to help secure an asset and get customer back on the road, I canceled the insurance on it and stopped payments on vehicle until we could figure out what to do.  I then receive phone calls and letters stating I am being charged 1200 onto loan bc I canceled insurance.  What a joke.  I ended up voluntarily giving up the vehicle and have picked up by you guys bc I am not paying for something that one, doesn’t drive, two, a company that wouldn’t help with getting the asset working and looking out for customers.  The phone calls I am receiving about a insurance claim, I don’t know what to tell you, I haven’t had insurance on that car since July, you should know since I am being charged for it.  I actually went with a company that values me as a consumer and will help if something ever happens to the car.  I have forfeited the joke of a car back to you guys.  You have it.  I am done with this company and will never do business again here, and never recommend to anyone.  Worst customer service I have dealt with.  I am aware of the affects to my credit with the repo on there, but you guys left me  no choice.  If there is a claim on the car, good luck bc I never filed anything, it is probably for the engine that needs repaired.  Maybe you should reach out to Finks for that.  Oh wait, it was as is sold, so their hands are clean.  Absolutely terrible customer experience all around.   LAE",5
Stacey Marie Sellers,Very nice well explained on every detail would recommend them to anyone..,5
Jan Jeblonski,My experience with OneMain financial was great fast approval and nothing bad to say,5
RUBEN,My agent was efficient. It was a fast approval and smooth.,5
Floyd Simms,I love one main.. they refinanced my loan & saved me over 100 bucks a month & I even received $100 in my checking account for the refi & being a single mom that means everything..!! I will always be a returning customer!! Thank you!! Love you!! Michelle was awesome & very grateful for her!! Thank you!!,5
Terri Williams,Sara is always very helpful and goes out of her way to help.,5
Bob,Thank you for your help... you all are always so professional and understanding.,5
Roger Harrell,"The Greenville Tx office was very helpful.  They gave me my options and allowed me to choose what was best for my needs.  Kind, courteous and helpful.",5
Bryan Cox,Love it it really helped me and she really was there and made it fast and easy,4
Lisa Brewer,I was very pleased was approved fast. The process was straightforward. Tom was exceptional he guide me throughout the process and was polite and patient. I will highly recommend OneMain Finacial.,5
Macy Wooden,Best customer service ever!! Everyone I spoke explained the process in terms that I could understand. I was treated like they we’re throughly please to assist me. Thru their voices I could tell they enjoyed their jobs,5
Gregory Flowers,"Mary was very helpful and reliable. We will use one main in the future because of the great customer service! We made some financial mistakes a long time ago when were a lot younger but now are very financially responsible. We have two cars paid off and this is our first loan. We also always make payments on time or early so we appreciate One Main giving us a chance! Other loan companies will continue to miss out on business because they only look for a perfect credit scores instead of income to debt ratio, on time payments, assets (2 cars paid off), good credit scores, etc",5
Martha,Excellent service Very Professional thru out loan process,5
Jay Mccollum,Very fast! And was happy with service,5
Blanca Cintron Vidal,This was very easy and hassle free Professional and very helpful I would highly recommend!!!,5
Dennis Eckhoff,The person that helped me was very good and fast .,4
James Knepper,The experience I have in getting my loan with Onemaine was great I had no problem in getting the loan like 123 the staff was helpful and they advise you on everything about the loan and how to getting it as quick as you need it love Onemaine,5
RICHARD JACKSON,Experience was very quick and satisfying.  The agent who helped me was Cynthia and she was very helpful.,5
Diane Clemons,Maria was very helpful and polite. There were no issues she let me know exactly what I needed to bring with me and everything went very smoothly. She was very informative.,5
Brian Franklin,"I was taken care of quickly, but efficiently. Everything was explained. Tamara who assisted me was very helpful.",5
Sharon Johanna Brinker,I was interested in seeing how much i could get on a loan since i already have one. Deborah was a great help in explaining everything in detail.,5
Ricardo Ruiz,The person was very courteous friendly to us,5
Dean Ruohoniemi,"Vince was my loan officer, and he was great! Friendly and helpful the entire time. He carefully walked me through the entire process and the loan packet. I was very pleased with his assistance.",5
Olga Casique,"Quick and easy process, amanda was great to deal with professionally! The process was quick and we were able to close in 1 day. Thank you so much!",5
Sharon King,financing my loan was quick and was a pleasant experience.,5
Hossam Youssef,"Josh, Stephanie and Jody were so kind and helpful to me.   Great team work .",5
KLH,Easy the process very professional definitely will recommend to anyone.,5
Le Shonda Beal,"This is the second time I have been to the Ashtabula Office and I have been able to acquire the money I needed in a loan .I dealt with Melanie Olivarez a loan specialist , her and the other associates are very pleasant to work with and very knowledgeable",5
LAE,Very helpful.  Was having problems navigating the site and she led me through the whole process,1
Dwain Pelison,She was super helpful,5
Wendy Luma,Everytime I do business with your company its a great experience and Yamith was very professional and made sure that she met all my needs.,5
Connie,My associate was helpful and informative as well as resourceful. Smooth process,5
Gerald Woody,The experience with the Lexington office was outstanding!! The ladies there were more than helpful. I was impressed with their kindness and how much they helped me. They deserve to be recommended highly.Brandy is phenomenal!!!,5
Pamela Miyashiro,I would like to thank One Main Financial for giving me the opportunity to get my financial life back on track. I would definitely recommend them to family and friends.,5
Kristan Buchholz,Very pleasant and professional experience with Kasha,5
Mike,Ease of useKnowledgeable Staff Super fast deposit,5
Bobbi Jo,The process was very easy and everything was done over the phone. I love the customer service and the payments are affordable.,5
Clayton Guffin,"Quick, easy process",5
Teena Preston,Great experience,5
Dennie Washington Jr,I had such a good experience.  Jill was patient and very helpful.  The office staff very professional.,5
Gail,My experience with One Main Financial was amazing.  Kelly was very helpful the whole way and made this an  easy and non stressful experience.,5
Emma Lockamy,Tammy at the Olathe Kansas office has always worked with me and seems to have my best interest in mind.,5
Taylor Tollison,Robin was very nice and knowledgeable.  Helped me with all my needs.,5
Preston Pahia Ii,"Again, one of the best experiences I have had, they are very positive and polite and fast, I was able to come and close on my lunch break!",5
Latoni Burton,"The process was so easy.  I was able to apply online, speak with a representative and get my deposit all in the same day.",5
Teresa Fitzgerald,"Between phone calls and my appointment with Santi, my experiences with the staff were phenomenal. They explained all of the benefits related to the loan and it was a very easy process.",5
Ande Starr,"Once my reqeust was transferred to an office in Michigan it was so fast. I had trouble with the office in Ohio, Jen kept telling me she would call me back the same day but never did. Same thing hapened the next day, then the day after that she was out of the office.",5
Guillermo Gonzalez,They are incredible when it comes to being a loan from them. It's fast it's easy and you can do it right over the phone. The ladies are very knowledgeable extremely polite and will go above and beyond to help you secure a loan for whatever you need it for.,5
William,"A five start review for a very painless, quick, polite, thorough loan process.  It was easy all the way. Thank you.",5
Annon,"I felt very comfortable talking to Jessica, she was very informative!",5
Sharon Powell,The gentleman I worked with was awesome!!!! He was patient on his end and was super helpful. Quite funny to! Really enjoyed the experience working with him!,5
Isaiah Frederick Ii,Raquel was amazing and informative. Definitely recommending her!!,4
"Cheryl-Oklahoma City,OK","Patricia García was simply wonderful. She went out of her way to see that everything was completed quickly.She explained the process and terms in a manner that made it easy to understand.Yours truly,Richard Pickens",5
Mary,Very helpful and patient. Was able to walk me through everything I needed.,5
Barbara Jimenez,Everyone was great especially Gloria. She deserves some kind praise. If I came back I would ask for her.,5
Sadee Anderson,"You guys was amazing to work with helped me through everything, worked with me on some stuff and I got it the same day awesome.",5
Monty Meeks,Was a very good experience very proftioal,5
Creeda Kesling,Excellent. Pleasant experience.,5
Tony,This was the fastest easiest process I’ve had with OneMain. I’ve been a customer for several years and this young lady helped me and we were done within the day. I am very very happy customer. Please give my regards to my person who helped me as she was extremely efficient.,5
Charles Wilcox,I really appreciate how quick One Main was able to let me know what documents I needed to make the process go smoothly. I was able to upload everything online through my phone and have an approval within a day. Signed all my documents and had my cash deposited the next day. Thanks again Steven.,5
Donald Swisher,"Poor communication, poor customer service !! Will not use them again... Very disappointed in the overall experience !!",5
Adessii Austin,"Year after complaint, & still harassing phone calls, emails, usps mailings!DO NOT UTILIZE, ESPECIALLY MILITARY, GOVERNMENT, ANY PROFESSION AN ALMOST GUARANTEED PAYCHECK!!!",5
