Title,reviews,stars,sentiment
CashNet is the #1 lender for short…,"CashNet is the #1 lender for short term, emergent loans! Easy online setup and payment system, same day deposits, all online! I was able to pay my loan back fast, where as other lenders are not reliable and offer high interest rates (so you can give them back 9-10 times the original!)",5,1
Customer service,Stephanie is a true and genuine pee’s on for your company. Very delightful and pleasant to talk to .,5,1
Great company with ethics and morals,This is a good company which puts common sense solutions to any problems which can arise. Thank you for all that the Cashnet team continues to do for the clients.,5,1
I’ve always been very happy with cash…,I’ve always been very happy with cash net USA I’ve never had a problem they’re very kind considerate and I’ve always been there for me when I need them thank you very much for all you do for me Cheryl,5,1
You guys make everything very painless…,You guys make everything very painless and easy. The interface is easy to operate the communication with your client base is excellent. Thank you guys for helping me get through a tight crunch,5,1
Blessed to be a blessing to people in need.,The employee was courteous kind and patient answered all my questions and was very nice. She's a blessing to your company thank you.,5,1
I’ve been using CashNet for over a year…,I’ve been using CashNet for over a year now. Quick and easy to get money when you need it. Sure you pay a little in interest but that’s the price you pay for having bad credit right.,5,1
Outstanding customer service,"Aaron's polite, professional and proficient customer service skills were a welcomed breath of fresh air!  I had an issue that needed to be taken care of today and it was! I thank you for having him on your team!!!! Kudos Aaron for a job well done!",5,1
Line of credit downfall,"I appreciate the assess of line of credit you supply to those that have an account with you, However, I am NOT impressed by the payback amount. Every other week is a horror story of your payments you take out of my check. With other responsibilities I have your payment schedule amount is madness. I hope to never have to need you again",4,1
She was excellent I was helped and she…was wonderful Tammy,"She was excellent I was helped and she had knowledge in what I wanted, love you guys and I'm thankful for your help. Thankyou",5,1
It's really helped me since I get paid once a Month.I get paid…,It's really helped me since I get paid once a month. However didn't really realize the payment on 1500.00 would be 400.00 now I won't do that much .,5,1
My experiences with you was ver helpful.,My experiences with you was very helpful and everyone was really nice and made sure I understood  what was being done.,5,1
My Experience was awesome everyone I…,My Experience was awesome everyone I spoken with was so nice An patience with me.I Really Do Appreciate That You Have Such A Good Group out of the thee I've talked to so far Hàve Good Customer service Team  .. on 10-12-2022- 10-13-2022,5,1
I was involved in a car accident that…,I was involved in a car accident that put me out of work cash net pushed my payments back long enough for me to get caught up and said call and let us know if the dates are still to soon. Thank you Cash Net USA!,5,1
Widow & 3 small babies...,I am recently a widdow and have 3 small children that needed help with income and this was fast and a blessing coming our way...,5,1
They are there when you need them and…,They are there when you need them and will always have your back. Outstanding customer service always there to help. CashNetUSA is my place to go when I’m in of help.,5,1
Thank you!,Quick and efficient response. Easy to use app. Funds available when needed! Timely notification of due date.,5,1
I love going thru yall,I love going thru yall! Everytime I apply yall give me my loan! It's the best interest rate I've seen with loan companies! Yall work with your customers! ❤️,5,1
I've been with Cashnet USA for a very…,I've been with Cashnet USA for a very long time.  I took care of my obligation and didn't have to use Cashnet USA for quite awhile.  Life happened and Cashnet USA was right there.I'm very satisfied.,5,1
Very professional,Very professional. I had a lot of help from all involved.  Good company.  Would recommend to everyone 👍,5,1
I APPRECIATE  THAT IN MY TIME OF NEED…,I APPRECIATE  THAT IN MY TIME OF NEED YOU WERE THERE FOR  ME THANKS,5,1
I really like the customer support when…,I really like the customer support when I have a issue they are professional and prompt and put me first this makes my experience better I can count on CashNetUSA when I need some financial support.,5,1
The knowledge And Great Help The…,The knowledge And Great Help The Company Employees Have Bestowed,5,1
Communication was clear very…,Communication was clear very professional and solved my problem in less than 5min1,5,1
No problem was less than 20mins to…,No problem was less than 20mins to apply and got the money deposited the next day,5,1
CasshNetUSA provided me with an…,CasshNetUSA provided me with an opportunity to alleviate some of the pain of worrying about how to resolve some of my existing debt.,5,1
A little slow in getting it to the bank,It was quick and easy to apply for but the deposit was a little slow getting to the bank.,4,1
She was awesome,She was very helpful and explained very well understanding and patience with me Thank you,5,1
I really like Cash Net they are always…,I really like Cash Net they are always there when I need them. I just wish that they would increase my limit. But I am really thankful for Cash Net.,4,1
Green communication,Answered all questions was fast from beginning to end gave me all answers to questions I had from applying to having questions about after approval,5,1
Quick an easy,"Format is easy to follow,  transaction was fast an easy .",5,1
Non complicated application,The process was quick and easy to apply. Got my loan in reasonable time. Thank you.,5,1
Easy process,I’ve had difficult experiences in the past to get money loans but CashNetUsa really did make it easy for me to get a loan and the process itself was easy as well,4,1
Awesome experience!,CashNetUSA always provides for me. I can depend on them to have good service.,5,1
Excellent customer service,Steve was a very helpful customer service thank you for your help,5,1
Knowledge,Able to troubleshoot and answer my my questions,5,1
CashNetUSA will solve your issues,Great service speaking with Mrs Alexia she handled all my needs.,5,1
Nothing but good luck with this company…,Nothing but good luck with this company thank you very much for the help,5,1
I’ve had a good experience with cash in…,I’ve had a good experience with cash in it I will continue to use them when I need them thank you,5,1
I was recently laid off and Toshiba…,I was recently laid off and Toshiba helped we schedule when I can resolve my account. She gave my options and I appreciated that.,5,1
He took his time with me and tried his…,He took his time with me and tried his best.,5,1
I advise anyone that come across or…IN A TIME OF NEED,"I advise anyone that come across or have money problems, to give CashNetUSA a call. They help me when I needed help the most.",5,1
My line of credit,"Easy access, quick delivery of cash when needed, and fast credit of payments",5,1
"""$how me the money""",Good morning CashNetUSA. Wow less than 30 minutes I got approved for a loan.Very simple and easy to apply. Thank you,5,1
Solve problems,They listened to me and was very helpful to help me,5,1
Was easy to apply and really helped in…,Was easy to apply and really helped in unexpected situation,5,1
Amazing,Amazing. I was able to get enough money to pay the bills that needed to be paid until my next pay day! Extremely grateful!!,5,1
I'm glad i got approved but the paying…,I'm glad i got approved but the paying back is way to high,4,1
It is a very pleasant experience to…,It is a very pleasant experience to work with cash net USA,5,1
Personality The process was easy and prompt,"The process was easy and prompt. The young lady was polite and knowledgeable. Personally was very pleasing. Thank you,🌹",5,1
Good customer service,This rep. Wads.good at his job and answered all my questions. He knows his.job and.preformes it.great.,5,1
Very helpful,She's helpful in answering all of my questions.,5,1
Prompt,They were straight to the point with no delay in helping me with my question.,5,1
Stress free direct deposits …,Stress free deposits directly into your account. Big help when money is needed asap!! Would definitely use again.,5,1
This company goes above and beyond to help customers.,The representative did a good job assisting Me with my issue.,5,1
Ideal for a short term loan,Ideal for a short term loan to pay off debts and cover unexpected expenses.,5,1
Well  I  call the number n they answer…,Well  I  call the number n they answer told  him about the letter i got from you guy's you were offering money.,4,1
Excellent service from CHANDELIERS…EXCELLENT,"Excellent service from CHANDELIERS customer service, professional and courteous. Thank you CHANDELIER.",5,1
Have always had a good experience with…,Have always had a good experience with your company,5,1
They was helpful in getting started,"The representative was the great at showing knowledge, answering questions and putting the customer first!",5,1
Great service,They're taking advantage of the poor over charging 275% interest rate.,5,1
I was approve waiting on money to hit…,Easy & Quick. Small loan but appreciate the help,5,1
Easy,Needed to know when funds would be deposited and she answered with a clear and understandable answer.,5,1
Good job,Representative understood my account needs and provided great transaction,5,1
Excellent process for payment arrangement,Brianna helped ease my worries about my current situation.,5,1
Brianna helped ease my worries about my…,I'm very happy with this Loan company . I wouldn't never go any where else for a loan . Thank you,5,1
Very Satisfied,I don’t like doing reviews if I have a bad experience I’ll let you know,5,1
I don’t like doing reviews if I don’t like my experience I’ll let you know,Mitchel resolved the issue. I had left out a very important issue and he was able to resolve it.,5,1
Mitchel resolved the issue,"she was very kind, understanding,  friendly,  patient,  as have all of the persons been.",5,1
Securing a loan,Super easy...no issues at all.  I had an answer in 5 mins.  Thank you,5,1
Super easy...no issues at all,After setting up bank info the rest was cake! WILL Use this service again thanks.,5,1
After setting up bank info the rest was…,The request was easy and the money was deposited the same day.,5,1
The request was easy and the money was…,When needed financially help grate timing.,5,1
When needed financially help grate…,Very Smooth Process Never felt how easy to get loan in difficult times :) 5 Stars*****,5,1
Great Experience!,They didn’t tell my payment was going to be over 200 an some dollar an the 10 a day payment stuff,5,1
Great communication,"The service, fast response",5,1
The service,My representative was very helpful in answering all my questions and concerns throughly.,5,1
Very courteous and helpful,Excellent Service and Mitchel was able to resolve and Answer all my questions in 5 minutes.,5,1
Great Service,Always three when I'm in need with my credit line.,5,1
Credit line,Very simple and easy. Will use again.,4,1
Very simple and easy,It was great fast and easy approval time very fast even on weekends,5,1
It was great fast and easy approval…,"Always helpful, would send anyone to your website",5,1
Always helpful,Simplicity of request and approval are an absolute plus,5,1
Simplicity of request and approval are…,My rep was very efficient & helpful.,5,1
Great Customer Service,Took care of my problem in like 5 minutes,5,1
Help with payment,Crystal was a great help in me changing my info,5,1
Great customer service,Everything was done in a timely manner and professional thank you so much for the help,5,1
Everything was done in a timely manner…,Your company is just awesome. You come right on time when I need you.,5,1
Your company is just awesome,Transactions are always timely. service is excellent,5,1
Transactions are always timely,Very nice and helpful,5,1
Good,Wonderful customer service thanks,5,1
Great Job,You will never get our from under the interest rates. I,5,1
Good service and provides options if…,Cash net USA has helped me when I needed it. I needed help and they helped me.,5,1
Support,I experienced very respectful and patient care,5,1
Excellent,"Quick, easy and user friendly",5,1
Quick,I had a great experience and wonderful customer service thank you,5,1
Very prompt to answer my questions,Very pleasant to deal with. Tamara had my problem solved immediately!,5,1
I had a great experience and wonderful…,Alexander took care of my situation in a fast friendly timely manner,5,1
Very pleasant to deal with,Very helpful.,5,1
Alexander took care of my situation in…,Everything was quick and smooth. Very timely.,5,1
Good company,Excellent Customer service and excellent experience.  No long wait.,5,1
Everything was quick and smooth,She was very patient and worked with us the whole way through.,5,1
Awesome experience,Very easy no wait time very efficient and simple,5,1
She was very patient and worked with us…,Wouldn't except checking account. Otherwise I would have given a 5,5,1
Thumbs up,Customer service is great with cash net USA,5,1
Wouldn't except checking account,Did an application over the phone was quick,4,1
Customer service is great with cash net…,The customer Rep listen to my needs and was very helpful.,5,1
Did an application over the phone was…,Can we update account information asap,5,1
Professional,Easy to use and very helpful in tight spots.,5,1
the employees are kind and helpful,It was on time to help me out,5,1
Super easy with no complications,Brooke was so kind and explained everything thoroughly,5,1
Easy to use and very helpful in tight…,East process,5,1
I love it,Easy to work with,5,1
Very fast service.,It was the best loan experience ever. Highly recommended,5,1
Great,Gwendolyn was very helpful and understanding. Thank you!,5,1
Very helpfull quik and easy,"CashNetUSA has been very helpful, and very easy to use!",5,1
Easy process,It was a great experience,5,1
Ease of application and money same day,"Loved the service, easy to use and understand.",5,1
Loan experience online,I Previously WROTE REVIEW!,5,1
Gwendolyn was very helpful and…,Got the money fast and easy with no hassle,5,1
CashNetUSA has been very helpful,Very nice and helpful,5,1
Happy customer,great experience,5,1
Loved the service,It's was wonderful,5,1
Very smooth process,I was satisfied with the customer service,5,1
Excellent and prompt service,I just could get my phone to work very good,5,1
Great customer service,Awesome service! Keep up the great work,5,1
UPDATE ON CASHNET POLICY,Very nice guide,4,1
Very professional,Things went better than I expected.,3,1
Got the money fast and easy with no…,Ariel is an excellent representative,4,1
Loan,Easy to use. Easy to understand.,5,1
Good customer service,Great fullness,5,1
Five Stars,My issue was resolved,5,1
Thanks for everything  have a great day,My experience was wonderful,5,1
Fast responses and fast issues solving,EXPLAINED MY QUESTION,5,1
Excellent,My service was met,5,1
Excellent service!,just ridiculous,5,1
I was satisfied with the customer…,I had a very good experience from beginning to the funds being deposited in my account the same day.,5,1
Extremely helpful,"HIGH INTEREST RATEI have been a customer with CasNetUSA for over a year now.  My only concern is the high interest rate they charge (300%) on the balance of my loan!  Is there any way to reconsider lowering the interest? I have been a loyal customer, with an excellent record on paying my dues on time.",5,1
Helped me when know one would,They were very useful when I needed them. The interest accrues pretty much every day. If you get a large loan it is very hard to pay back even when you do pay extra. Just be careful with how much you take.,5,1
I just could get my phone to work very…,The young lady was exceptionally professional and caring during the whole phone call!,5,1
Awesome service,I will never get a loan from these people again they are nothing but rip offs,5,1
I was very pleased How everything went,DO NOT USE CASHNET USA! BEWARE!!!!Last month I contacted CashNet USA to pay my account in full. The transaction was completed and they drafted the funds from my account. I received an email stating I still owed $700 and they would be drafting from my account on a designated day. How can this be when last month I was told it was paid in full. PLEASE BEWARE!!!  They are not reputable!!!,5,1
Good,Good job and great customer service to help me out,5,1
Answer my question fast about loan,"Communication was easy-going and constructive, helpful with a feeling of warmth.",5,1
Very easy and effortless process.,Overall experience was good. The outcome of my concerns were addressed and resolved. My online chat assistance was excellent. A very positive satisfactory rating.,5,1
Thanks in good,Wasn't sure of it. Came when I needed it most! Quick and easy!,5,1
So easy to do.,The customer service was excellent,5,1
helpful and polite experience,I called to check that status of my application. The customer service that I received was excellent. I look forward doing business with you you all in the future.,5,1
Fast and easy,I need to make my car payment.  Git behind in bills this month. Needed help..You came through Thanks.And great customer service online help was wonderful.,5,1
I didn’t get a response for my loan,"It was super easy to do the application, I got a good amount approved and it took only 2 days for funds to be deposited. It was overall a smooth process. They didn’t pay me to make this review.",4,1
Very helpful,First time with you all and it was a wonderful time.  All went well and a big Thank You for helping me out in my time,5,1
Ariel,Everyone I have dealt with has been very helpful and very polite.  They seem to be well informed.,5,1
Easy to use,No matter how much you borrow everyday your balance goes up that’s not fair at all. The banks don’t even do that,5,1
Very understanding,I love that you can pay back the loan in full without interest rates.,5,1
Payments,Very helpful best I had after someone was talking to me lol,4,1
Wonderful awesome,I was asking about the type of loan that I was interested in.The lady was very informative and she answered all of my questions.,5,1
Good he done a good job,I wanted to delete my account but she won’t do it,4,1
Very good customer service,Excellent expedited service,5,1
Excellent,Watch out there is a scam with the same name don’t fall for it,5,1
Thank you guys so much,She took the time and gave me the info I needed to assure me my deposit would be today.,5,1
They were great,Stephanie was great and informative. She changed my mind about their product.,5,1
Very fast loan services,It was fast and efficient,5,1
Happy with the loan,I did take out a few loans but the interest is ridiculous. I am not borrowing anymore money and just wanna pay my balance of as soon as possible. Sorry but I will never use this again.,5,1
Everything is so easy,I truly miss CashNet USA services for Payloans services in California. Come back soon!😇,5,1
He was very pleasant,"My CSR, Samantha is an ultimate professional",5,1
Thankyou so much,The experience I had this afternoon with cash net usa representative was pleasant and quite extraordinary. The representative was experienced and had exceptional customer service skills.,5,1
LOAN QUESTIONS,Wonderful experience,4,1
Payment,I was happy with how fast I was approved.,5,1
Super easy to use.,This company is dangerous. Once you take out a loan. Good luck..they make sure you'll wont be able to pay it off. Paid ahead of time only to find out it did not matter. They still going to keep raising your amount.,5,1
They are excellent,They were very nice and professional,5,1
Real service,It was great!,5,1
Excellent service,Very easy to work the website and online experience was great.,5,1
Great service!,Amazing service and customer support. 5 Stars!,5,1
I had a very good experience from…,Easy process and fast decision...,5,1
They were very useful when I needed…,My experience was easy fast. Not alot of paper work. Just give the basic personal information wait a few minutes to be accepted. Then check your bank account in a few hours. Then do what you need to do with your money.,3,1
PROFESSIONAL!,Natasha was very knowledgeable and patient and friendly. She explained everything in detail and answered any questions I asked by far one of the most detailed representatives ever,5,1
She done well,It was really helpful and the lady that helped me with my application was so honest with all my questions that I asked.,5,1
Excellent,I enjoy all the items that I have received. They've been on time and in perfect condition.,5,1
Extension,I called and had lots of questions to understand about how this works and the associate was very knowledgeable of all the questions I asked! It was a great conversation!!,5,1
Overall experience was good,Great business very good people,4,1
Fast and easy,"CashNetUSA is a great service for very short term, payday-like loans.  Because their APR is like 300%, never use them if you can’t pay it off in full quickly.  Use Solo (iPhone app) for lower rates. Both are very easy to sign up with and use, and very quickly provide funding you need. I highly recommend them.",5,1
Customer service,Under a stressful situation with identity theft. Helped in time of need.,5,1
Excellent,Wonderful customer service experience each and every time.  Thank you.,5,1
Need cash quick,Excellent communication treated customer good gave me all information i needed.,5,1
It was super easy to do the…,Great experience,5,1
First time mywith you all and it was a…,"They give loans same day which is super helpful in an emergency,  their costumer service when you call is top notch they really care about you and concerns.",5,1
Everyone I have dealt with has been…,Everyone I texted and talked to were courteous and patient with me,5,1
Definitely recommend,Very happy with how easy it is to get a loan and set up payment installments,4,1
Very good,My experience was excellent.Polite and great customer service,5,1
Asking about type of loan,I applied for a loan and was approved and funds were in my account same day! Fast speedy service!!,5,1
Fast and reliable,Been a great way to keep finances afloat.,5,1
Advance,I just wanted to see if my first payment get thru! Thank you!,5,1
Watch out there is a scam with the same…,Jonathan was extremely pleasant to speak with and resolved my issue professionally.,5,1
Great customer service,Sheila was amazing and so sweet.,5,1
Help me with my problem,Grateful for the help they give and I’ve only had respectful interaction with them.,5,1
Mind changed.,"I was skeptical.  But the entire process was very simple because even I could do it. I'm not very good on a computer much less a phone.  I was able to get it all figured out, with a short chat with customer service.  I was approved  and I ordered my first draw the next day. It didnt take very long at all. I was pleasantly surprised.",5,1
Good,I couldn't find anything from the website about how to use the line of credit or was there a credit card. I also told her that I was going to build my credit with this card. She explained about the credit and That they don't report to the credit bureau.,5,1
Telemarketer Call,I was checking on the deposit to be made in my account. He answered my questions and was extremely nice and polite when he did.,5,1
Fantastic,First it indicated we were approved then when we call we were told we were not!!,5,1
Great app good service.,My assistant was dead on and knew her information. She needs a raise. Thank you!,5,1
EXTRAORDINARY EXPERIENCE,They were prompt and helped right away,5,1
Great,I needed cash and she was able to walk me through my issues 😌,4,1
I was happy with how fast I was…,It was a toss up between 4 & 5 only bc I thought I'd receive the funds a lil faster but I went with the 5 due to yall even being available to work with some of us trying to get back on our feet! Thanks,5,1
Very helpful,I was able to update my info and renew my loan,5,1
Fantastic,Great customer service she needs a raise,5,1
Outstanding service,Had a very good experience with Carla she was very knowledgeable in her field of expertise she showed good communication skills and took down my information quickly and in a timely fashion and she updated my info in the system and forwarded my payment for me so that I could back on track to paying off my loan,5,1
Great company,The lady was very professional and polite,5,1
Bank Loan for emergency.,You are always there for me in a pinch. I have enjoyed the ease of our relationship. Very satisfied.,5,1
I don't understand how my first payment…,It was my time calling Cashnet and very professional. I would refer my friends and family to cashnet.,3,1
Very helpful,When i called for help they were very nice and helpful,5,1
Easy process and quick and easy fast decision...,I had just recently lost my aunt and had to take some time off from work and needed some help to get through and cash net was there to help when no one else was!,5,1
Good experience,"Service was quick and easy, funding was just as great.  The only reason I didn't give you a 5 five-star rating is the cost.  I feel you are about 10% too high on your interest.",5,1
It was quick and easy,"She was very helpful and explained in detail what questions I had. Very professional, knew her job well.",5,1
My experience was easy fast,It was a great customer service very helpful and great information,5,1
Extremely satisfied,"Went very smoothly, easy to do only takes about 10 min. Application was easy & self explanatory.",5,1
Really great help in a time of need,She was right on point my problem was taken care of,5,1
First Time,"Your Interest Rates seem Illegal. I know you lend Money to People with Poor Credit Scores, but It's a Huge burden to those of Us that have suffered big set backs.",5,1
Fast and easy,The absolute best customer service !!!!  Thank you.,5,1
It was really helpful and the lady that…,"This is new to me and I will know more when/if I get another advance up to the limit. But so far, it has met my expectations quite well. I applied yesterday and the money was in my account today. Can't beat that!",5,1
Easy,The process was smooth and fast responds.,5,1
I enjoy all the items that I have…,Help me with my appacatiin,5,1
I called and had lots of questions to…Friday 128@?,Excellent service as always.  Thank you!,5,1
Excellent,It was easy and super simple. Got it next day in my accou t and things are going to be OK. Thank you!!!!Will most definitely refer you to friends!,5,1
Use only short term.,Everyone is super helpful,5,1
Relieved Stress.,Everything was simple and loved how quickly the funds are given to help with bills,5,1
Wonderful customer service experience…,"never do business with them, total ripoff. very greedy. you will loose a lot money",5,1
Excellent communication treated…,"Everything was fast , and very simple and quick it doesn’t hurt to try !!",5,1
Good,I was helped by Brittany she done an excellent job .,5,1
They give loans same day which is super…,The service is always fast and good enjoy working with you,5,1
Experience was very satisfying.,Excellent customer service,5,1
Wasn’t approved but still a great site,"Excellent service, obtained a loan in a flash.",3,1
Rep was great,It is fine if I don’t get approved. I gave all my personal information and no response. Thanks.,5,1
Caring staff Everyone I texted and talked to were…,Don’t do it! No matter how broke you are. They’ll charge 200% interest and daily charge of .3% so everyday your loan will increase as long as you have an outstanding balance. Which only puts you more in debt than you already are. So I suggest another option! NOT THIS OPTION!!!,5,1
Whenever I need assistance they are…,"Great, Fast Fast Fast",5,1
Very pleased,"I would highly recommend this site. If you need quick  money for anything, it is a quick and easy process.",5,1
Fast approval,You where so nice to answer all my question and explaining things to me,5,1
My experience was excellent.,This is to tell you unless you absolutely 100% have no other choice do yourself a favor and forget about this company they will rob you blind 300 % interest this should be against the law they're no better than a thief robbing you in an alleyway I got this loan because my daughter said they were great let me tell you they're not the payments were extremely high and every 2 weeks I pay less on my car payment than I do with this I will NEVER EVER EVER go through these thieves ever again just saying you've been warned,5,1
Very fast and speedy service and same day funds!!,Very thorough,5,1
Easy to access funds when i needed them.,Helpful in handling my payment,4,1
Been a great way to keep finances…,"So far so good, no negative issues.",4,1
Excellent customer service,"Great Service. Interest rates are high, but that comes with the territory. The process is simple and efficient and can help you out when you get in a jam.",5,1
Friendly and thoughtful,You guys was helpful and out standing,5,1
Good service,The customer service was excellent and so pleasant. Dajah made me feel comfortable in getting the short term loan I needed and answered all my questions with expertise. I hope everyone has the same top notch customer service she gave.,5,1
"THANK YOU, JONATHAN",The online app is very easy to follow very easy to understand when I called and had a question quick answer all was easy,5,1
Ms.Sheila,"It was very quick and easy. However, being able to find out the payment schedule and talk to a live agent via chat is virtually impossible. But other than that it was good.",5,1
Great and speedy  service,I've never had a problem with CashNet.  Thank youThey're always there when I need them G. Clark,5,1
Grateful for the help they give and…,"The application process is easy and approval was very fast.  I receive e-mail reminders about upcoming payments, which is helpful, and also e-mails about the status of my account - also helpful.  I requested a draw yesterday morning and had the money in my account approx. 6 hours later.  Great experience with CashNetUSA.",5,1
I was skeptical,Received response quickly. Very glad to have chosen your business. Thank You.,5,1
A pleasant experience,I had a good experience very nice and caring.,5,1
Cash Net USA,Was very helpful and good  quick and loved the customer,5,1
Just checking on deposit,Always there to help!!!!  Easy to use too!,5,1
She was very clear on info.,She answered my question and got done what I needed to get done thank you all so much,5,1
My assistant was dead on and knew her…,The customer service representative was nice,5,1
Reset password,I normally woulda been giving a great review since never had any issues with them .. however recently I tried renewing & now denied in which the denial states something to the effect of not enough creditials which is incorrect Due to I have always paid back early & in full & a day before I decided to take the loan I had already been approved .. had I known it was gonna change I would have just renewed that day,5,1
Good customer service,Great vustomer,5,1
It was a toss up between 4 & 5 only bc…,"Cashnet was great at trying to help me, they talk to me like they cared!!",5,1
I was able to update my info and renew…,Many people have problems with their_< finances and we find ourselves in need of resorting to loans to solve the situation.  Cashnet immediately resolves this situation by helping us get out of additional debt.  It is easy and very flexible with payments.  They have an excellent costumer service and their associates are characterized by their courtesy.  I love Cashnet and I always recommend it,5,1
Fast and easy process.,"I was happy that I could get a loan and, I needed cash real fast. It was fast and, it was a nice experience.",5,1
Great Customer service,"It was never clear to me how much i was going to pay and how often i was going to pay i was borrowed 1,100 and interest was like 500$ and i have to pay $186.00 every 2 weeks this is ridiculous instead of helping they are screwing me i have a $3,500 loan through the bank and its monthly and its $70 less i will NEVER get a loan through these people again they are thieves in disguise 🥸 I cant wait to pay them off!!! Bunch of crooks!! All i see is bad reports idk what i was thinking!!I highly don’t recommend these people to anyone!!",5,1
Had a very good experience with Carla…,Every question I asked was answered they sound like professionals,5,1
adding to loan,Service was complete and efficient.,5,1
You are always there for me in a pinch,I was behind my paymemt and during that time with health and it took me a month to get better. You must understand and you did. Thank you very much.,5,1
Satisfied,It was good the lady’s I talk to where very helpful thanks again,5,1
When i called for help they were very…,"I was helped with my issue with patience,and problem was solved quickly.",5,1
Lifesaver!!,My tequest was processed with excellent customer service and in one phone call.,5,1
Service was quick and easy,Thanks to CashNetUSA I’ve been able to stay a float during this strange economical time.,4,1
She was very helpful and explained in detail,"If you in a bind Nate, CashNetUSA got you!",5,1
Simple and easy to navigate,Website was easy to get through also I was approved within minutes of applying,5,1
Easy and fast,Quick approval which is great for a time of need but the interest rates are TERRIBLE.,5,1
Customer service,Always there for me with outstanding service!,5,1
Great customer service!,Called cashnet USA today as they requested about the 300% interest rates. They won't work with you except to extend payments or split them getting you farther and farther into debt as they continue to collect that high interest. It's like $14 a day!!!!  Being on social Security and elderly doesn't mean anything to them. Companies like this force you into bankruptcy.  I have a $2500 loan with another on line company and payments are not even half that.  All I can say is I would highly recommend against borrowing from this company.,5,1
Went very smoothly,Approval was very fast and courteous and really got me out of a jam,5,1
She was right on point my problem was…,"Website is super user friendly. This is fast and easy money, but horribly expensive. The interest makes it impossible to pay down if you can’t pay the whole balance right away.",5,1
Easy and quick,Excellent attention to my needs. Made me feel important to the company,5,1
The absolute best customer service !!!,Very good company.  Willing to work with you if problems arise.  Recommend highly.,5,1
This is new to me and I will know more…,I never get my money same day. When it says it's going to deposit next day be late the next day and still have missed everything I need to pay. So usually takes 2 days to get it but my payments be on time. No problem.,5,1
The process was smooth and fast…,Highly recommend CashNetUSA. Super quick and easy process. Funds same day. Great company,5,1
Good job,Got the money the same day. Helpful.,5,1
Excellent service as always,It was great satisfying efficient well explained detailed the young lady that helped me deserves a raise,5,1
It was easy and super simple,The representative was very helpful and knowledgable! She understood my concern and explained it to ny understanding!,5,1
But experience was good with no attitude,This company is a company that takes advantage of individuals. It charges the highest rate possible on daily interest. You can only hope they get ran out of business by reasonable companies that offer fair and affordable rates. BestEgg offers actual companies with normal loans. This place is operated like a check writing service. Do not use them. I got a $1500 loan and my first 3 payments will add up to $1300 then I will be expected to continue payments until April of 2024.,5,1
Great Customer Service,Always there when I need them! An absolute life saver. Keep up the fantastic work.,5,1
Great customer service,I have been with cash net usa  and I am so please  with the service   and thank you .,5,1
Fast and easy,I just got ruled as disabled and need help paying my recent loan,5,1
It wad a great deal,"The interest rate is completely abhorrent but I was approved instantly for a line of credit that was deposited directly into my bank account. The one company that decided to give me a loan when I really needed it many months ago, so for that I’m thankful.",5,1
Everything was fast,Outstanding service.  Easy to work with and customer service reps. are knowledgable and polite.,5,1
Review,"Amazing company. They are so incredibly helpful and willing to work with their clients. Communication is key and this company has been fast in response, and knowledgeable when inquiring about my account. Thank you!",4,1
Always good,I thank you for the help. But taking payment out of each paycheck that leaves nothing to pay bills with or buy food is becoming a burden!!,5,1
Loan,I love cashnet my line of credit has came in handy I don't know how many times and if something comes up with a payment they are very easy to work with I recommend them to everyone I know when they talk about getting a loan thank you cashnet.,5,1
